Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2009,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),109.687
2009,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),134.33715937166664
2010,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),18
2010,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),524
2010,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),41.608
2010,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),151.18657469717363
2011,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),66.18
2011,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),356.32411067193675
2011,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),52.13
2011,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),154.5047747181472
2012,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne)
2012,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG)
2012,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne)
2012,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG)
2003,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1370.757
2003,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),688
2003,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),255.166
2004,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1388.489
2004,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),207
2004,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),276.451
2005,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1360
2005,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),329
2005,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),315.053
2006,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1408.854
2006,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),343
2006,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),300.889
2007,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1229.908
2007,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),380
2007,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),307
2008,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1382.4
2008,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),467
2008,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),351.2
2009,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1223.153
2009,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),620
2009,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),418.877
2010,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1242.293
2010,Cacao,PRODUCTION,Cacao fève,Prix au prod.² (FCFA/KG),983
2010,Cacao,PRODUCTION,Cacao transformé,Quantité (1000 X tonne),425.4316221772746
2011,Cacao,PRODUCTION,Cacao fève,Quantité (1000 X tonne),1559.441
