geometry,@id,Catégorie,Lieu,id
"{""type"":""Point"",""coordinates"":[-4.0423927,5.4414949]}",node/5972785314,Arrêt de bus,YT Transport,node/5972785314
"{""type"":""Point"",""coordinates"":[-4.0426442,5.4414482]}",node/5972785315,Arrêt de bus,GDF Transport,node/5972785315
"{""type"":""Point"",""coordinates"":[-4.0425148,5.4411158]}",node/5972785316,Arrêt de bus,Rahimo Transport,node/5972785316
"{""type"":""Point"",""coordinates"":[-4.0428856,5.4413921]}",node/5972785317,Arrêt de bus,Groupe Sito CMTM Transport,node/5972785317
"{""type"":""Point"",""coordinates"":[-4.0429969,5.4410183]}",node/5972785318,Arrêt de bus,MT Transport,node/5972785318
"{""type"":""Point"",""coordinates"":[-4.0207447,5.3247785]}",node/6098848385,Arrêt de bus,Externat St Paul,node/6098848385
"{""type"":""Point"",""coordinates"":[-4.0205724,5.3238429]}",node/6136850508,Arrêt de bus,Terminus Hotel de Ville,node/6136850508
"{""type"":""Point"",""coordinates"":[-4.021322,5.3317403]}",node/6195348341,Arrêt de bus,CCIA,node/6195348341
"{""type"":""Point"",""coordinates"":[-4.0333199,5.4148488]}",node/6281030720,Arrêt de bus,Terminus Sagbe,node/6281030720
"{""type"":""Point"",""coordinates"":[-4.0144508,5.4351428]}",node/6474137921,Arrêt de bus,Cite Universitaire Abobo,node/6474137921
"{""type"":""Point"",""coordinates"":[-4.0125365,5.4363019]}",node/6474137923,Arrêt de bus,BICICI,node/6474137923
"{""type"":""Point"",""coordinates"":[-4.0147435,5.4382745]}",node/6474137925,Arrêt de bus,Carrefour Akeikoi,node/6474137925
"{""type"":""Point"",""coordinates"":[-4.0192416,5.4380618]}",node/6474137927,Arrêt de bus,Centre Priere Evangelique CPERES,node/6474137927
"{""type"":""Point"",""coordinates"":[-4.0202585,5.4356153]}",node/6474137929,Arrêt de bus,Camp Commando Abobo,node/6474137929
"{""type"":""Point"",""coordinates"":[-4.0200587,5.4305459]}",node/6474137931,Arrêt de bus,Station Shell,node/6474137931
"{""type"":""Point"",""coordinates"":[-4.0198488,5.4263959]}",node/6474137932,Arrêt de bus,Pharmacie Etoile,node/6474137932
"{""type"":""Point"",""coordinates"":[-4.0187446,5.4234101]}",node/6474137934,Arrêt de bus,Pharmacie la Me,node/6474137934
"{""type"":""Point"",""coordinates"":[-4.0166455,5.4171616]}",node/6474137936,Arrêt de bus,College St Joseph,node/6474137936
"{""type"":""Point"",""coordinates"":[-4.015975,5.4131162]}",node/6474137938,Arrêt de bus,Arret BANCO,node/6474137938
"{""type"":""Point"",""coordinates"":[-4.0160118,5.4088631]}",node/6474137940,Arrêt de bus,Arret ANADOR,node/6474137940
"{""type"":""Point"",""coordinates"":[-4.0207427,5.392647]}",node/6474137942,Arrêt de bus,Universite Nangui Abrogoua,node/6474137942
"{""type"":""Point"",""coordinates"":[-4.0255918,5.3774907]}",node/6474137944,Arrêt de bus,MACACI,node/6474137944
"{""type"":""Point"",""coordinates"":[-4.0276664,5.3592555]}",node/6474137946,Arrêt de bus,Gare Nord,node/6474137946
"{""type"":""Point"",""coordinates"":[-4.0274455,5.3591608]}",node/6474137948,Arrêt de bus,Gare Nord,node/6474137948
"{""type"":""Point"",""coordinates"":[-4.0257308,5.3533294]}",node/6474137950,Arrêt de bus,Mosquee Adjame,node/6474137950
"{""type"":""Point"",""coordinates"":[-4.0256469,5.3477196]}",node/6474137952,Arrêt de bus,EPP Satigui,node/6474137952
"{""type"":""Point"",""coordinates"":[-4.026009,5.3431728]}",node/6474137954,Arrêt de bus,Mairie Adjame,node/6474137954
"{""type"":""Point"",""coordinates"":[-4.0238205,5.3312372]}",node/6474137956,Arrêt de bus,Gare Cite Administrative,node/6474137956
"{""type"":""Point"",""coordinates"":[-4.0238402,5.3278684]}",node/6474137958,Arrêt de bus,Immeuble Sogefiha Plateau,node/6474137958
"{""type"":""Point"",""coordinates"":[-4.0181049,5.3145043]}",node/6474137967,Arrêt de bus,Gare Sud,node/6474137967
"{""type"":""Point"",""coordinates"":[-4.0196849,5.3177648]}",node/6474137979,Arrêt de bus,PTT Plateau,node/6474137979
"{""type"":""Point"",""coordinates"":[-4.0197518,5.3225705]}",node/6474137980,Arrêt de bus,Galerie du Parc,node/6474137980
